id,title,start
https://www.youtube.com/watch?v=NUTGr5t3MoY,Green Day - Basket Case,15
https://www.youtube.com/watch?v=Abrn8aVQ76Q,The Offspring - Self Esteem,15
https://www.youtube.com/watch?v=DhKHAopScowc,Rancid - Time Bomb,15
https://www.youtube.com/watch?v=6axOY4PBusk,NOFX - Linoleum,15
https://www.youtube.com/watch?v=1dYOVzxPLd4,Bad Religion - 21st Century Digital Boy,15
https://www.youtube.com/watch?v=_Gz9um3wV1o,Pennywise - Bro Hymn,15
https://www.youtube.com/watch?v=sT0g16_LQaQ,Blink-182 - Dammit,15
https://www.youtube.com/watch?v=oh8zcbC_Dcw,Social Distortion - Story of My Life,15
https://www.youtube.com/watch?v=1zSYReu_AMk,Lagwagon - May 16,15
https://www.youtube.com/watch?v=NpWxQ-dFlUE,Face to Face - Disconnected,15
https://www.youtube.com/watch?v=i8dh9gDzmz8,Green Day - When I Come Around,15
https://www.youtube.com/watch?v=1jOk8dk-qaU,The Offspring - Come Out and Play,15
https://www.youtube.com/watch?v=0P9QMkm9Eew,Rancid - Ruby Soho,15
https://www.youtube.com/watch?v=0Z3bJ8gB4VI,NOFX - Bob,15
https://www.youtube.com/watch?v=TanJnwREO8A,Bad Religion - Infected,15
https://www.youtube.com/watch?v=SYa0xoqJEhQ,Pennywise - Unknown Road,15
https://www.youtube.com/watch?v=K7l5ZeVVoCA,Blink-182 - What's My Age Again,15
https://www.youtube.com/watch?v=42BBdzzgPNM,Green Day - Longview,15
https://www.youtube.com/watch?v=numCZoBFZK8,The Offspring - Gone Away,15
https://www.youtube.com/watch?v=M4VJkh5cPXI,Rancid - Roots Radicals,15
https://www.youtube.com/watch?v=qnFVMkTWaBw,NOFX - The Decline,15
https://www.youtube.com/watch?v=Y8E9RbSWnks,Bad Religion - Stranger Than Fiction,15
https://www.youtube.com/watch?v=pQQvAKrVBy4,Pennywise - Society,15
https://www.youtube.com/watch?v=9Ht5RZpzPqw,Blink-182 - All the Small Things,15
https://www.youtube.com/watch?v=SvvP2tEXxHQ,Social Distortion - Sick Boy,15
https://www.youtube.com/watch?v=OR7R40c2_nI,Green Day - Welcome to Paradise,15
https://www.youtube.com/watch?v=z3jTEZ9W6Js,The Offspring - All I Want,15
https://www.youtube.com/watch?v=S0xw8B5ImKM,Rancid - Fall Back Down,15
https://www.youtube.com/watch?v=7qFfFVSerQo,Descendents - Everything Sucks,15
https://www.youtube.com/watch?v=MV4n2xB5NTQ,Bad Religion - Generator,15
https://www.youtube.com/watch?v=PuQMVy8lXEs,Pennywise - Same Old Story,15
https://www.youtube.com/watch?v=GgmRTdsADBY,Blink-182 - Josie,15
https://www.youtube.com/watch?v=DFJuPIqGT1w,Millencolin - No Cigar,15
https://www.youtube.com/watch?v=T7bkMjWu6HA,Lagwagon - Violins,15
https://www.youtube.com/watch?v=0iI6S4DpHKA,Face to Face - I Won't Lie Down,15
https://www.youtube.com/watch?v=gDqGskVGMxU,Green Day - Brain Stew,15
https://www.youtube.com/watch?v=VrZ4sMRYimw,The Offspring - The Kids Aren't Alright,15
https://www.youtube.com/watch?v=6cKErCWrb44,Rancid - Salvation,15
https://www.youtube.com/watch?v=gVjGAMtc0bo,NOFX - Stickin In My Eye,15
https://www.youtube.com/watch?v=Bx2Mpx9cjfM,Bad Religion - Do What You Want,15
https://www.youtube.com/watch?v=2LFBmVc-p5U,Pennywise - My God,15
https://www.youtube.com/watch?v=CMX2lPum_pg,Sum 41 - Fat Lip,15
https://www.youtube.com/watch?v=MehdznKtdJw,Simple Plan - I'd Do Anything,15
https://www.youtube.com/watch?v=o33Iz0Fhgz0,New Found Glory - My Friends Over You,15
https://www.youtube.com/watch?v=y-jC3H_8Dk4,Good Charlotte - Lifestyles of the Rich and Famous,15
https://www.youtube.com/watch?v=37xVw3c-ugw,MxPx - Chick Magnet,15
https://www.youtube.com/watch?v=JYtiYgd-mfE,Less Than Jake - All My Best Friends Are Metalheads,15
https://www.youtube.com/watch?v=KKZka_GSzCE,Goldfinger - Here In Your Bedroom,15
https://www.youtube.com/watch?v=p8HoEvDh70Y,Saves the Day - At Your Funeral,15
https://www.youtube.com/watch?v=Qt6Lkgs0kiU,The Ataris - Boys of Summer,15
https://www.youtube.com/watch?v=4rF4r1lKW8g,Zebrahead - Get Back,15
https://www.youtube.com/watch?v=x-64CaD8GXw,Dropkick Murphys - I'm Shipping Up to Boston,15
https://www.youtube.com/watch?v=ymyf9IO_m7A,Rise Against - Swing Life Away,15
https://www.youtube.com/watch?v=3W7-ngZC_eI,Anti-Flag - Die For Your Government,15
https://www.youtube.com/watch?v=c6ZnTxFxJss,Propagandhi - Less Talk More Rock,15
https://www.youtube.com/watch?v=lTZhDjcxwDs,H2O - One Life One Chance,15
https://www.youtube.com/watch?v=tGXL4tEgZ28,Bouncing Souls - True Believers,15
https://www.youtube.com/watch?v=JnKU1m7j7F0,Suicide Machines - No Face,15
https://www.youtube.com/watch?v=JCeDKc5i_WA,Snapcase - Skeptic,15
https://www.youtube.com/watch?v=jz0j5t0MnXM,Avail - All About It,15
